Model,MSE,RMSE,MAE,R²,Adjusted R²
Single-Feature (Area),2574595014383.6504,1604554.4597749403,1205725.3291058738,0.264835313807518,0.2495193828451746
Multiple-Feature,876307034468.6095,936112.7253000087,757364.4364541674,0.749774243170588,0.6594149420933004
Ridge Regression,876373565068.778,936148.2601964168,757456.0339000796,0.7497552456398999,0.6593890843431971
Lasso Regression,876306690051.8966,936112.5413388588,757364.2557093292,0.7497743415173195,0.6594150759541293
Polynomial Regression,1300191768217.5999,1140259.517924582,815491.7385708871,0.6287357553589574,1.3307626906802015
Random Forest Regression,853836849172.0892,924032.9264545118,702105.8006666666,0.7561905092745438,0.6681481931792401
